variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation
Profil physique,Profil non physique,ELIMINATION_CHALLENGE,Épreuve éliminatoire,281,14,0.0498220640569395,0.029906503727118193,0.0818805386150116,59,2,0.03389830508474576,0.047058823529411764,0.002763240527527737,1.0587188612099645,1.4697508896797153,1.4943820224719102,1.0,1.0,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,AMBASSADEURS,Ambassadeurs,281,10,0.03558718861209965,0.019442874526466918,0.06425838259327962,59,1,0.01694915254237288,0.03235294117647059,0.0032342474356290563,1.0999676480103526,2.099644128113879,2.140221402214022,0.6969524470876527,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,VOLUNTARY,Abandon volontaire,281,11,0.03914590747330961,0.021996477468231135,0.06872622595711124,59,2,0.03389830508474576,0.03823529411764706,0.0009106133556625456,1.0238160416096358,1.1548042704626333,1.1611111111111112,1.0,1.0,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,FINALE_ORIENTATION,Orientation,281,14,0.0498220640569395,0.029906503727118193,0.0818805386150116,59,7,0.11864406779661017,0.061764705882352944,-0.011942641825413443,0.8066429418742586,0.4199288256227758,0.3895131086142322,0.06797424763858696,0.6117682287472826,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,FINALE_POTEAUX,Poteaux,281,11,0.03914590747330961,0.021996477468231135,0.06872622595711124,59,5,0.0847457627118644,0.047058823529411764,-0.007912916056102157,0.8318505338078291,0.4619217081850534,0.44,0.16825446065773195,0.6814013609439492,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,JURY_FINAL_DECISION,Défaite au jury final,281,13,0.046263345195729534,0.02723272513837907,0.0775328708981549,59,2,0.03389830508474576,0.04411764705882353,0.002145698136906002,1.0486358244365361,1.3647686832740213,1.382462686567164,1.0,1.0,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,CENSORED_WINNER,Victoire,281,17,0.060498220640569395,0.03811138666132525,0.094739994597592,59,3,0.05084745762711865,0.058823529411764705,0.0016746912288046895,1.0284697508896796,1.1897983392645313,1.202020202020202,1.0,1.0,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil physique,VOTE_CONSEIL,Conseil,59,34,0.576271186440678,0.4493425547283663,0.6938746771689757,281,171,0.608540925266904,0.6029411764705882,-0.026669990029910218,0.9557668458040514,0.9469719496481316,0.8748538011695907,0.6626547725912821,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil physique,MEDICAL,Blessure / médical,59,3,0.05084745762711865,0.017442401159453308,0.1391672332228667,281,20,0.0711743772241993,0.06764705882352941,-0.01679960119641076,0.7516580692704496,0.714406779661017,0.6991071428571428,0.7775705196678446,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil physique,ELIMINATION_CHALLENGE,Épreuve éliminatoire,59,2,0.03389830508474576,0.009345713033501513,0.11543786981607584,281,14,0.0498220640569395,0.047058823529411764,-0.013160518444666001,0.7203389830508474,0.6803874092009685,0.6691729323308271,1.0,1.0,False,False,TRES_PEU_D_EVENEMENTS
