variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation,absolute_log2_lift
Âge,18–25 ans,AMBASSADEURS,Ambassadeurs,80,4,0.05,0.01961323712729557,0.121624525510822,260,7,0.026923076923076925,0.03235294117647059,0.01764705882352941,1.5454545454545454,1.8571428571428572,1.9022556390977443,0.29420092287710775,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE,0.6280312226130421
Sexe,Homme,FINALE_POTEAUX,Poteaux,169,12,0.07100591715976332,0.041081448211808286,0.12000014325691219,171,4,0.023391812865497075,0.047058823529411764,0.02394709363035155,1.5088757396449706,3.035502958579882,3.1910828025477707,0.04297266633697669,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT,0.5934740005766738
Âge,26–33 ans,CENSORED_WINNER,Victoire,102,9,0.08823529411764706,0.04711502569146459,0.15924617822079679,238,11,0.046218487394957986,0.058823529411764705,0.02941176470588236,1.5000000000000002,1.9090909090909092,1.997067448680352,0.13812562717031013,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE,0.5849625007211564
Sexe,Femme,MEDICAL,Blessure / médical,171,8,0.04678362573099415,0.023893560130576114,0.08958972988736011,169,15,0.08875739644970414,0.06764705882352941,-0.020863433092535258,0.6915840325451309,0.5270955165692007,0.5038854805725972,0.13584938561578408,0.6814013609439492,False,True,SOUS_REPRESENTATION_DESCRIPTIVE,0.532023534805209
Âge,34–41 ans,FINALE_ORIENTATION,Orientation,92,4,0.043478260869565216,0.01703544061158062,0.10651842326381375,248,17,0.06854838709677419,0.061764705882352944,-0.018286445012787728,0.7039337474120082,0.6342710997442456,0.6176470588235294,0.45946961388464813,0.958789049081504,False,True,SOUS_REPRESENTATION_DESCRIPTIVE,0.5064884426980716
Âge,42 ans et plus,AMBASSADEURS,Ambassadeurs,66,3,0.045454545454545456,0.015577991894810295,0.1253351601521073,274,8,0.029197080291970802,0.03235294117647059,0.013101604278074865,1.4049586776859504,1.5568181818181819,1.5833333333333333,0.4522230484225519,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE,0.4905276988631072
Âge,42 ans et plus,JURY_FINAL_DECISION,Défaite au jury final,66,4,0.06060606060606061,0.023818229304678556,0.14573115100734177,274,11,0.040145985401459854,0.04411764705882353,0.016488413547237075,1.3737373737373737,1.509641873278237,1.5425219941348973,0.5030766193027927,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE,0.45810622117072974
Âge,26–33 ans,JURY_FINAL_DECISION,Défaite au jury final,102,6,0.058823529411764705,0.02723526813965306,0.1224374503377698,238,9,0.037815126050420166,0.04411764705882353,0.014705882352941173,1.3333333333333333,1.5555555555555556,1.5902777777777777,0.39604242232972936,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE,0.41503749927884376
Profil physique,Profil physique,MEDICAL,Blessure / médical,59,3,0.05084745762711865,0.017442401159453308,0.1391672332228667,281,20,0.0711743772241993,0.06764705882352941,-0.01679960119641076,0.7516580692704496,0.714406779661017,0.6991071428571428,0.7775705196678446,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE,0.41185156855999594
Sexe,Homme,MEDICAL,Blessure / médical,169,15,0.08875739644970414,0.05452510474955278,0.14127035189977236,171,8,0.04678362573099415,0.06764705882352941,0.02111033762617473,1.312065860560844,1.897189349112426,1.984577922077922,0.13584938561578408,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE,0.3918401394070232
