cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,concordance,status
MEDICAL,MEDICAL_M7,23,physical_score + age_42_plus,physical_score,0.7427690268147504,0.2750762730227929,2.0056467289333124,0.5573753659588838,0.5801186943620178,SUCCESS
MEDICAL,MEDICAL_M7,23,physical_score + age_42_plus,age_42_plus,1.9647850522876285,0.9237003160514662,4.179256231279463,0.07945462400794258,0.5801186943620178,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M1,21,gender_male + physical_score,gender_male,0.9231555934814957,0.4646103364864264,1.8342602022610617,0.8194545740432282,0.5857142857142857,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M1,21,gender_male + physical_score,physical_score,1.8327542495826017,0.7766225564200164,4.325123075032684,0.1666960340374449,0.5857142857142857,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M2,21,gender_male + age_18_25,gender_male,0.9899319987752553,0.5036472760250874,1.9457374413563955,0.976586194739161,0.5214285714285715,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M2,21,gender_male + age_18_25,age_18_25,0.8182798920235042,0.31284643180226257,2.1402896553194926,0.6826753868910191,0.5214285714285715,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M3,21,gender_male + age_34_41,gender_male,0.9298271599523749,0.47182317786514455,1.8324206777993668,0.8335095917071493,0.55,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M3,21,gender_male + age_34_41,age_34_41,0.6472391231531848,0.2925606866595263,1.4319028551762623,0.2829024127709252,0.55,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M4,21,gender_male + age_42_plus,gender_male,0.8594853255146392,0.4447813383213975,1.66084986290772,0.6523352562674916,0.6214285714285714,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M4,21,gender_male + age_42_plus,age_42_plus,2.4469941183956987,1.0510396681221361,5.697006875260327,0.037947949430590586,0.6214285714285714,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M5,21,physical_score + age_18_25,physical_score,1.8485937668673986,0.7849388371727157,4.353586232539881,0.1597562706097494,0.5928571428571429,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M5,21,physical_score + age_18_25,age_18_25,0.7596631193232349,0.29068789679593565,1.9852496826347958,0.5749077231225981,0.5928571428571429,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M6,21,physical_score + age_34_41,physical_score,1.7913238544717676,0.7977289731961769,4.022470362011629,0.15782422333274007,0.5857142857142857,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M6,21,physical_score + age_34_41,age_34_41,0.6654226786469193,0.3086232168969149,1.434718183906233,0.2987486512553047,0.5857142857142857,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M7,21,physical_score + age_42_plus,physical_score,2.047518908194609,0.8736301432140229,4.798751178606484,0.0991310737764784,0.5928571428571429,SUCCESS
FINALE_ORIENTATION,FINALE_ORIENTATION_M7,21,physical_score + age_42_plus,age_42_plus,2.5720149411005133,1.2626769842402426,5.239076137294689,0.009254888869011171,0.5928571428571429,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M1,16,gender_male,gender_male,2.0829944122619053,1.0448420679161035,4.152652209120961,0.03710775613780829,0.6363636363636364,SUCCESS
