candidate_season_key,season_id,season_name,candidate_name,gender_male,gender_label,physical_score,physical_label,age_band,age_label,final_departure_cause,reached_orientation,eliminated_orientation,passed_orientation,reached_poteaux,eliminated_poteaux,reached_jury_final,won_jury_final,lost_jury_final
KL26::gilles,KL26,Koh-Lanta : Le Feu Sacré,Gilles,1,Homme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::clémence,KL26,Koh-Lanta : Le Feu Sacré,Clémence,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::esteban,KL26,Koh-Lanta : Le Feu Sacré,Esteban,1,Homme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::laura,KL26,Koh-Lanta : Le Feu Sacré,Laura,0,Femme,0.0,Profil non physique,26-33,26–33 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL26::quentin,KL26,Koh-Lanta : Le Feu Sacré,Quentin,1,Homme,0.0,Profil non physique,26-33,26–33 ans,AMBASSADEURS,0,0,0,0,0,0,0,0
KL26::julie,KL26,Koh-Lanta : Le Feu Sacré,Julie,0,Femme,1.0,Profil physique,26-33,26–33 ans,FINALE_ORIENTATION,1,1,0,0,0,0,0,0
KL26::nicolas,KL26,Koh-Lanta : Le Feu Sacré,Nicolas,1,Homme,0.0,Profil non physique,42+,42 ans et plus,FINALE_POTEAUX,1,0,1,1,1,0,0,0
KL26::tania,KL26,Koh-Lanta : Le Feu Sacré,Tania,0,Femme,0.0,Profil non physique,18-25,18–25 ans,JURY_FINAL_DECISION,1,0,1,1,0,1,0,1
KL26::frédéric,KL26,Koh-Lanta : Le Feu Sacré,Frédéric,1,Homme,0.0,Profil non physique,26-33,26–33 ans,CENSORED_WINNER,1,0,1,1,0,1,1,0
"KL25::céline ""lili"" gasnier",KL25,Koh-Lanta : Le Totem Maudit,"Céline ""Lili"" Gasnier",0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL25::céline dufrenoy,KL25,Koh-Lanta : Le Totem Maudit,Céline Dufrenoy,0,Femme,0.0,Profil non physique,34-41,34–41 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
KL25::franck macia,KL25,Koh-Lanta : Le Totem Maudit,Franck Macia,1,Homme,1.0,Profil physique,42+,42 ans et plus,VOLUNTARY,0,0,0,0,0,0,0,0
KL25::mattéo real,KL25,Koh-Lanta : Le Totem Maudit,Mattéo Real,1,Homme,1.0,Profil physique,18-25,18–25 ans,VOTE_CONSEIL,0,0,0,0,0,0,0,0
