candidate_season_key,season_id,season_name,candidate_name,normalized_rank,normalized_exit_rank,at_risk,exits_at_rank,exit_cause_at_rank,gender_male,gender_label,physical_score,physical_label,age_band,age_label
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,8,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,9,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,10,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,11,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,12,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,13,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,14,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,15,16,1,0,,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,16,16,1,1,VOTE_CONSEIL,1,Homme,1.0,Profil physique,26-33,26–33 ans
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,1,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,2,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,3,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,4,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,5,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,6,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,7,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,8,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,9,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,10,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,11,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,12,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,13,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,14,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,15,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,16,17,1,0,,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::antoine sanchez,KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,17,17,1,1,FINALE_ORIENTATION,1,Homme,1.0,Profil physique,42+,42 ans et plus
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,1,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,2,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,3,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,4,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,5,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,6,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,7,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,8,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,9,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,10,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,11,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,12,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,13,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,14,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,15,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,16,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,17,18,1,0,,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,18,18,1,1,FINALE_POTEAUX,1,Homme,1.0,Profil physique,18-25,18–25 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,1,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,2,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,3,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,4,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,5,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,6,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,7,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,8,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,9,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,10,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,11,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,12,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,13,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,14,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,15,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,16,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,17,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::delphine bano,KL03,Koh-Lanta : Bocas del Toro,Delphine Bano,18,20,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
