season_name,candidate_name,final_exit_order,departure_description_raw,departure_type_normalized,departure_model_category,all_cause_exit_event,censored_at_end,returned_after_medical_replacement,needs_departure_enrichment,audit_status,audit_warning
Koh-Lanta : Johor,Christophe Pendon Returned to Game,8,6th Voted Out Day 17,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Margot Perrot Houwaer,9,Medically evacuated Day 19,ABANDON_MEDICAL,AUTRE_SORTIE,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity
Koh-Lanta : Johor,Alban Pellegrin,10,7th Voted Out 1st jury member Day 19,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity
Koh-Lanta : Johor,Jeff Santiago Returned to Game,11,8th Voted Out Day 20,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Corinne Bargoin Samuelian,12,Medically evacuated 2nd jury member Day 21,ABANDON_MEDICAL,AUTRE_SORTIE,1,False,False,False,PASS,
Koh-Lanta : Johor,Cédric Giosserand-Lucas,13,9th Voted Out 3rd jury member Day 23,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Charlaine Cuny,14,10th Voted Out 4th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity
Koh-Lanta : Johor,Nessim Kouachi,15,11th Voted Out 5th jury member Day 26,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity
Koh-Lanta : Johor,Jeff Santiago,16,12th Voted Out 6th jury member Day 29,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Christophe Pendon,17,13th Voted Out 7th jury member Day 32,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Jessica Potel,18,14th Voted Out 8th jury member Day 34,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Sébastien Ballesteros,19,15th Voted Out 9th jury member Day 37,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Bruno Peisey,20,Lost Challenge 10th jury member Day 38,EPREUVE_ELIMINATOIRE,EPREUVE,1,False,False,False,PASS,
Koh-Lanta : Johor,Mélissa Bastin,21,15th Voted Out 11th jury member Day 39,CONSEIL,DECISION_AVENTURIERS,1,False,False,False,PASS,
Koh-Lanta : Johor,Chantel Ménard,22,Runner-up Day 40,FINALISTE,AUTRE_SORTIE,1,False,False,False,PASS_WITH_WARNING,Exit order ambiguity
Koh-Lanta : Johor,Marc Rambaud,23,Sole Survivor Day 40,VAINQUEUR,AUTRE_SORTIE,0,True,False,False,PASS_WITH_WARNING,Exit order ambiguity
