season_name,candidate_name,profession_normalized,profile_documentation_sufficient,physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,external_research_required,audit_status,audit_warning
Koh-Lanta : La Guerre des Chefs,Maxime,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Cyril,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Clo,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Aurélien,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Steeve,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Cindy,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Guerre des Chefs,Maud,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : La Revanche des 4 Terres,Cynthiana,Agent immobilier,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Allan,Docker,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Christian,Brocanteur,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Romane,Coach sportive,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Mehdi,Chauffeur poids lourds,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Benoît,Athlète en saut à la perche,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Mohamed,Éducateur sportif,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Pauline,Maître-nageuse,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Andréa,Étudiante,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Adrien,Ingénieur,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Frédéric,Directeur service des sports,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Jessica,Restauratrice,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Louise,Écogarde,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Joana,Gérante d'un salon de beauté,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Naïs,Éducatrice spécialisée,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Pierre-Marie,Chef d'entreprise dans le BTP,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Maxime,Responsable communication de la fédération de pêche,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Noémie,Cheffe d'entreprise,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Céline,Commerciale dans le sport,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Jérôme,Ex-militaire,True,1.0,DIRECT_PHYSICAL_PROFESSION,,Profession physique directe: Ex-militaire,False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Claire,Scénographe produit,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Jérôme,Peintre en bâtiment,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Maël,Pâtissier,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : La Revanche des 4 Terres,Gaëlle,Mère au foyer,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Célia,Assistante familiale,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Emin,Directeur général,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Alexandre,Responsable logistique,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Élodie,Responsable marketing,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Benjamin,Marin,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Martin,Fromager,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Christine,Éducatrice canine,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Rudy,Conducteur de métro,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Grâce,Technicienne en plasturgie,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Anne-Sophie,Professeure de Zumba,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Helena,Kinésithérapeute,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Gilles,Agriculteur,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Clémence,Raccordeuse de fibre optique,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Esteban,Vendeur-démonstrateur,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Laura,Photographe,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
