candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,search_query
KL32::loïc,KL32,Koh-Lanta : Les 4 Terres,Loïc,22.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 97 ] [source secondaire souhaitée] , [ 98 ] [source secondaire souhaitée] , [ 99 ] [source secondaire souhaitée] , [ 100 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Loïc"" Koh-Lanta Koh-Lanta : Les 4 Terres première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::sylviane,KL33,Koh-Lanta : Les Armes secrètes,Sylviane,1.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 17 ] , [ 18 ] , [ 19 ] , [ 20 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Sylviane"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::marie,KL33,Koh-Lanta : Les Armes secrètes,Marie,2.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 21 ] , [ 22 ] , [ 23 ] , [ 24 ] , [ 25 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Marie"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::élodie,KL33,Koh-Lanta : Les Armes secrètes,Élodie,3.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 26 ] , [ 27 ] , [ 28 ] , [ 29 ] , [ 30 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Élodie"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::candice,KL33,Koh-Lanta : Les Armes secrètes,Candice,4.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 31 ] , [ 32 ] , [ 33 ] , [ 34 ] , [ 35 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Candice"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::aurélien,KL33,Koh-Lanta : Les Armes secrètes,Aurélien,6.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 41 ] , [ 42 ] , [ 43 ] , [ 44 ] , [ 45 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Aurélien"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::frédéric,KL33,Koh-Lanta : Les Armes secrètes,Frédéric,7.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 46 ] , [ 47 ] , [ 48 ] , [ 49 ] , [ 50 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Frédéric"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::hervé,KL33,Koh-Lanta : Les Armes secrètes,Hervé,8.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 51 ] , [ 52 ] , [ 53 ] , [ 54 ] , [ 55 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Hervé"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::mathieu,KL33,Koh-Lanta : Les Armes secrètes,Mathieu,9.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 56 ] , [ 57 ] , [ 58 ] , [ 59 ] , [ 60 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Mathieu"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::shanice,KL33,Koh-Lanta : Les Armes secrètes,Shanice,10.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 61 ] , [ 62 ] , [ 63 ] , [ 64 ] , [ 65 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Shanice"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::myriam,KL33,Koh-Lanta : Les Armes secrètes,Myriam,11.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 66 ] , [ 67 ] , [ 68 ] , [ 69 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Myriam"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::vincent,KL33,Koh-Lanta : Les Armes secrètes,Vincent,12.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 70 ] , [ 71 ] , [ 72 ] , [ 73 ] , [ 74 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Vincent"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::laëtitia,KL33,Koh-Lanta : Les Armes secrètes,Laëtitia,13.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 75 ] , [ 76 ] , [ 77 ] , [ 78 ] , [ 79 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Laëtitia"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::thomas,KL33,Koh-Lanta : Les Armes secrètes,Thomas,14.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 80 ] , [ 81 ] , [ 82 ] , [ 83 ] , [ 84 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Thomas"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::flavio,KL33,Koh-Lanta : Les Armes secrètes,Flavio,15.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 85 ] , [ 86 ] , [ 87 ] , [ 88 ] , [ 89 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Flavio"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::magali,KL33,Koh-Lanta : Les Armes secrètes,Magali,16.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 90 ] , [ 91 ] , [ 92 ] , [ 93 ] , [ 94 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Magali"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::arnaud,KL33,Koh-Lanta : Les Armes secrètes,Arnaud,17.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 95 ] , [ 96 ] , [ 97 ] , [ 98 ] , [ 99 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Arnaud"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::laure,KL33,Koh-Lanta : Les Armes secrètes,Laure,18.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminée [ 100 ] , [ 101 ] , [ 102 ] , [ 103 ] , [ 104 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Laure"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
KL33::jonathan,KL33,Koh-Lanta : Les Armes secrètes,Jonathan,19.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé [ 105 ] , [ 106 ] , [ 107 ] , [ 108 ] , [ 109 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Jonathan"" Koh-Lanta Koh-Lanta : Les Armes secrètes première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion autre"
