candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL26::anne-sophie,KL26,Koh-Lanta : Le Feu Sacré,Anne-Sophie,10.0,Éliminée [ 20 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::adrien,KL29,Koh-Lanta : La Revanche des 4 Terres,Adrien,10.0,"Éliminé [ 33 ] , [ 34 ] , [ 35 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::jessica,KL29,Koh-Lanta : La Revanche des 4 Terres,Jessica,12.0,"Éliminée [ 39 ] , [ 40 ] , [ 41 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::louise,KL29,Koh-Lanta : La Revanche des 4 Terres,Louise,13.0,"Éliminée [ 42 ] , [ 43 ] , [ 44 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::joana,KL29,Koh-Lanta : La Revanche des 4 Terres,Joana,14.0,"Éliminée [ 45 ] , [ 46 ] , [ 47 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::naïs,KL29,Koh-Lanta : La Revanche des 4 Terres,Naïs,15.0,"Éliminée [ 48 ] , [ 49 ] , [ 50 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::pierre-marie,KL29,Koh-Lanta : La Revanche des 4 Terres,Pierre-Marie,16.0,"Éliminé [ 51 ] , [ 52 ] , [ 53 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::maxime,KL29,Koh-Lanta : La Revanche des 4 Terres,Maxime,17.0,"Éliminé [ 54 ] , [ 55 ] , [ 56 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::noémie,KL29,Koh-Lanta : La Revanche des 4 Terres,Noémie,18.0,"Éliminée [ 57 ] , [ 58 ] , [ 59 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::céline,KL29,Koh-Lanta : La Revanche des 4 Terres,Céline,19.0,"Éliminée [ 60 ] , [ 61 ] , [ 62 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::jérôme#row20,KL29,Koh-Lanta : La Revanche des 4 Terres,Jérôme,20.0,"Éliminé [ 63 ] , [ 64 ] , [ 65 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
