candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,search_query
KL01::william,KL01,KL KL01,William,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""William"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::françoise,KL01,KL KL01,Françoise,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Françoise"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::romain,KL01,KL KL01,Romain,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Romain"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL01::patricia,KL01,KL KL01,Patricia,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Patricia"" Koh-Lanta KL KL01 élimination sortie conseil abandon épreuve"
KL02::xavier,KL02,KL KL02,Xavier,1.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Xavier"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::caroline mercier,KL02,KL KL02,Caroline Mercier,2.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Caroline Mercier"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::céline genty,KL02,KL KL02,Céline Genty,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Céline Genty"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::nelly,KL02,KL KL02,Nelly,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Nelly"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::pierre,KL02,KL KL02,Pierre,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Pierre"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::jacky,KL02,KL KL02,Jacky,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Jacky"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::adonis,KL02,KL KL02,Adonis,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Adonis"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::jimmy,KL02,KL KL02,Jimmy,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Jimmy"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::béatrice,KL02,KL KL02,Béatrice,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Béatrice"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::françois-xavier,KL02,KL KL02,François-Xavier,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""François-Xavier"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::isabelle,KL02,KL KL02,Isabelle,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Isabelle"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::maud,KL02,KL KL02,Maud,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Maud"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::marianne,KL02,KL KL02,Marianne,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Marianne"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL02::bernard,KL02,KL KL02,Bernard,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Bernard"" Koh-Lanta KL KL02 élimination sortie conseil abandon épreuve"
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Michel Jeandel"" Koh-Lanta Koh-Lanta : Bocas del Toro élimination sortie conseil abandon épreuve"
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,"""Sophie Guilloix"" Koh-Lanta Koh-Lanta : Bocas del Toro élimination sortie conseil abandon épreuve"
