candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,allowed_departure_causes,classification_rule
KL02::marianne,KL02,KL KL02,Marianne,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL02::bernard,KL02,KL KL02,Bernard,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,3.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::sophie guilloix,KL03,Koh-Lanta : Bocas del Toro,Sophie Guilloix,4.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::julie bourdon,KL03,Koh-Lanta : Bocas del Toro,Julie Bourdon,5.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::linda delamarre,KL03,Koh-Lanta : Bocas del Toro,Linda Delamarre,6.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,7.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,8.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,9.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,10.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::sébastien loew,KL03,Koh-Lanta : Bocas del Toro,Sébastien Loew,11.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::valérie dot,KL03,Koh-Lanta : Bocas del Toro,Valérie Dot,12.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::hélène patry,KL03,Koh-Lanta : Bocas del Toro,Hélène Patry,13.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,14.0,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED,
