batch_id,batch_number,season_id,season_name,season_year,candidate_season_key,candidate_name,research_task_type,research_priority_score,external_research_priority,fields_to_complete,external_research_request,search_query_1,search_query_2,search_query_3,research_status,review_status
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::mohamed,Mohamed,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mohamed (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mohamed (Koh-Lanta : La Guerre des Chefs, 2019)","""Mohamed"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Mohamed"" Koh-Lanta  portrait métier sport","""Mohamed"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::nicolas,Nicolas,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nicolas (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nicolas (Koh-Lanta : La Guerre des Chefs, 2019)","""Nicolas"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Nicolas"" Koh-Lanta  portrait métier sport","""Nicolas"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::maxime,Maxime,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime (Koh-Lanta : La Guerre des Chefs, 2019)","""Maxime"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Maxime"" Koh-Lanta  portrait métier sport","""Maxime"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::cyril,Cyril,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cyril (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cyril (Koh-Lanta : La Guerre des Chefs, 2019)","""Cyril"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Cyril"" Koh-Lanta  portrait métier sport","""Cyril"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::clo,Clo,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Clo (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Clo (Koh-Lanta : La Guerre des Chefs, 2019)","""Clo"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Clo"" Koh-Lanta  portrait métier sport","""Clo"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::aurélien,Aurélien,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Aurélien (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Aurélien (Koh-Lanta : La Guerre des Chefs, 2019)","""Aurélien"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Aurélien"" Koh-Lanta  portrait métier sport","""Aurélien"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::steeve,Steeve,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Steeve (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Steeve (Koh-Lanta : La Guerre des Chefs, 2019)","""Steeve"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Steeve"" Koh-Lanta  portrait métier sport","""Steeve"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::cindy,Cindy,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cindy (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Cindy (Koh-Lanta : La Guerre des Chefs, 2019)","""Cindy"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Cindy"" Koh-Lanta  portrait métier sport","""Cindy"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL22,Koh-Lanta : La Guerre des Chefs,,KL22::maud,Maud,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maud (Koh-Lanta : La Guerre des Chefs, 2019)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maud (Koh-Lanta : La Guerre des Chefs, 2019)","""Maud"" ""Koh-Lanta"" Koh-Lanta : La Guerre des Chefs","""Maud"" Koh-Lanta  portrait métier sport","""Maud"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,"KL25::céline ""lili"" gasnier","Céline ""Lili"" Gasnier",MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Céline ""Lili"" Gasnier (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Céline ""Lili"" Gasnier (Koh-Lanta : Le Totem Maudit, 2022)","""Céline ""Lili"" Gasnier"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Céline ""Lili"" Gasnier"" Koh-Lanta  portrait métier sport","""Céline ""Lili"" Gasnier"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::céline dufrenoy,Céline Dufrenoy,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Céline Dufrenoy (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Céline Dufrenoy (Koh-Lanta : Le Totem Maudit, 2022)","""Céline Dufrenoy"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Céline Dufrenoy"" Koh-Lanta  portrait métier sport","""Céline Dufrenoy"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::franck macia,Franck Macia,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Franck Macia (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Franck Macia (Koh-Lanta : Le Totem Maudit, 2022)","""Franck Macia"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Franck Macia"" Koh-Lanta  portrait métier sport","""Franck Macia"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::mattéo real,Mattéo Real,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mattéo Real (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Mattéo Real (Koh-Lanta : Le Totem Maudit, 2022)","""Mattéo Real"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Mattéo Real"" Koh-Lanta  portrait métier sport","""Mattéo Real"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::samira aït-brahim,Samira Aït-Brahim,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Samira Aït-Brahim (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Samira Aït-Brahim (Koh-Lanta : Le Totem Maudit, 2022)","""Samira Aït-Brahim"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Samira Aït-Brahim"" Koh-Lanta  portrait métier sport","""Samira Aït-Brahim"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::benjamin breerette,Benjamin Breerette,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benjamin Breerette (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Benjamin Breerette (Koh-Lanta : Le Totem Maudit, 2022)","""Benjamin Breerette"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Benjamin Breerette"" Koh-Lanta  portrait métier sport","""Benjamin Breerette"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::stéphanie tribot,Stéphanie Tribot,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Stéphanie Tribot (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Stéphanie Tribot (Koh-Lanta : Le Totem Maudit, 2022)","""Stéphanie Tribot"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Stéphanie Tribot"" Koh-Lanta  portrait métier sport","""Stéphanie Tribot"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::jean-philippe masy,Jean-Philippe Masy,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jean-Philippe Masy (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jean-Philippe Masy (Koh-Lanta : Le Totem Maudit, 2022)","""Jean-Philippe Masy"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Jean-Philippe Masy"" Koh-Lanta  portrait métier sport","""Jean-Philippe Masy"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::alexandra élizé,Alexandra Élizé,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Élizé (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Alexandra Élizé (Koh-Lanta : Le Totem Maudit, 2022)","""Alexandra Élizé"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Alexandra Élizé"" Koh-Lanta  portrait métier sport","""Alexandra Élizé"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::setha el hajjami,Setha El Hajjami,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Setha El Hajjami (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Setha El Hajjami (Koh-Lanta : Le Totem Maudit, 2022)","""Setha El Hajjami"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Setha El Hajjami"" Koh-Lanta  portrait métier sport","""Setha El Hajjami"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::colin mottas,Colin Mottas,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Colin Mottas (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Colin Mottas (Koh-Lanta : Le Totem Maudit, 2022)","""Colin Mottas"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Colin Mottas"" Koh-Lanta  portrait métier sport","""Colin Mottas"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::pauline pourchaire,Pauline Pourchaire,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Pauline Pourchaire (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Pauline Pourchaire (Koh-Lanta : Le Totem Maudit, 2022)","""Pauline Pourchaire"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Pauline Pourchaire"" Koh-Lanta  portrait métier sport","""Pauline Pourchaire"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::yannick zachée,Yannick Zachée,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Yannick Zachée (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Yannick Zachée (Koh-Lanta : Le Totem Maudit, 2022)","""Yannick Zachée"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Yannick Zachée"" Koh-Lanta  portrait métier sport","""Yannick Zachée"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::anne-sophie mounier,Anne-Sophie Mounier,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Anne-Sophie Mounier (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Anne-Sophie Mounier (Koh-Lanta : Le Totem Maudit, 2022)","""Anne-Sophie Mounier"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Anne-Sophie Mounier"" Koh-Lanta  portrait métier sport","""Anne-Sophie Mounier"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::maxime tournoux,Maxime Tournoux,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime Tournoux (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Maxime Tournoux (Koh-Lanta : Le Totem Maudit, 2022)","""Maxime Tournoux"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Maxime Tournoux"" Koh-Lanta  portrait métier sport","""Maxime Tournoux"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::louana roy,Louana Roy,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Louana Roy (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Louana Roy (Koh-Lanta : Le Totem Maudit, 2022)","""Louana Roy"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Louana Roy"" Koh-Lanta  portrait métier sport","""Louana Roy"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::fouzi ould bouamama,Fouzi Ould Bouamama,MULTI_FIELD_RESEARCH,7,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Fouzi Ould Bouamama (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Fouzi Ould Bouamama (Koh-Lanta : Le Totem Maudit, 2022)","""Fouzi Ould Bouamama"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Fouzi Ould Bouamama"" Koh-Lanta  portrait métier sport","""Fouzi Ould Bouamama"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::nicolas bellon,Nicolas Bellon,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nicolas Bellon (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Nicolas Bellon (Koh-Lanta : Le Totem Maudit, 2022)","""Nicolas Bellon"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Nicolas Bellon"" Koh-Lanta  portrait métier sport","""Nicolas Bellon"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::olga khokhlova,Olga Khokhlova,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Olga Khokhlova (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Olga Khokhlova (Koh-Lanta : Le Totem Maudit, 2022)","""Olga Khokhlova"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Olga Khokhlova"" Koh-Lanta  portrait métier sport","""Olga Khokhlova"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::ambre daudet,Ambre Daudet,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Ambre Daudet (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Ambre Daudet (Koh-Lanta : Le Totem Maudit, 2022)","""Ambre Daudet"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Ambre Daudet"" Koh-Lanta  portrait métier sport","""Ambre Daudet"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
EXT_BATCH_004,4,KL25,Koh-Lanta : Le Totem Maudit,,KL25::jean-charles chatelus,Jean-Charles Chatelus,MULTI_FIELD_RESEARCH,8,HIGH,"Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jean-Charles Chatelus (Koh-Lanta : Le Totem Maudit, 2022)","Rechercher: profession exacte, pratique sportive, intensité, musculature pour Jean-Charles Chatelus (Koh-Lanta : Le Totem Maudit, 2022)","""Jean-Charles Chatelus"" ""Koh-Lanta"" Koh-Lanta : Le Totem Maudit","""Jean-Charles Chatelus"" Koh-Lanta  portrait métier sport","""Jean-Charles Chatelus"" Koh-Lanta candidat candidature interview",NOT_STARTED,A_REVOIR
