cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,significant_005,concordance,status
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M4,15,age_35_44,age_35_44,0.40650941715947886,0.18811847305239815,0.8784352943015374,0.02204144814514842,True,0.625,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M5,15,age_45_54,age_45_54,3.1059816515382486,1.0393059926183612,9.28227306318895,0.04245979580590498,True,0.625,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M6,15,age_55_plus,age_55_plus,1.0,1.0,1.0,,False,0.5,SUCCESS
VOLUNTARY,VOLUNTARY_M1,13,gender_male,gender_male,1.0509764699064266,0.4688861623219056,2.3556923386846793,0.9038991670457892,False,0.5145631067961165,SUCCESS
VOLUNTARY,VOLUNTARY_M2,13,physical_score,physical_score,0.7554316755368436,0.20888405413144415,2.7320276733296933,0.6689315713447737,False,0.5242718446601942,SUCCESS
VOLUNTARY,VOLUNTARY_M3,13,age_18_24,age_18_24,2.372157078066619,0.8833101457949561,6.370502172775668,0.08656733079986643,False,0.6116504854368932,SUCCESS
VOLUNTARY,VOLUNTARY_M4,13,age_35_44,age_35_44,1.0555745320648922,0.4627654857538907,2.4077802408466416,0.8977136046640338,False,0.47572815533980584,SUCCESS
VOLUNTARY,VOLUNTARY_M5,13,age_45_54,age_45_54,1.0934489279392106,0.19887533485049458,6.011959999515422,0.9181760655198673,False,0.5121359223300971,SUCCESS
VOLUNTARY,VOLUNTARY_M6,13,age_55_plus,age_55_plus,0.3118520936082293,0.16671413217964684,0.5833442373262026,0.00026552866644478424,True,0.5194174757281553,SUCCESS
AMBASSADEURS,AMBASSADEURS_M1,11,gender_male,gender_male,2.3474234102230667,1.0161821833486788,5.422646408446753,0.04576635886408879,True,0.6259842519685039,SUCCESS
AMBASSADEURS,AMBASSADEURS_M2,11,physical_score,physical_score,0.4812663027195313,0.13665595499559396,1.6948932385770918,0.25488859562425087,False,0.5669291338582677,SUCCESS
AMBASSADEURS,AMBASSADEURS_M3,11,age_18_24,age_18_24,3.227801581423121,1.1065526154899676,9.415461048297582,0.03192637397946593,True,0.6338582677165354,SUCCESS
AMBASSADEURS,AMBASSADEURS_M4,11,age_35_44,age_35_44,0.6284809194934472,0.22459523861250208,1.758667140975365,0.3763483118477471,False,0.547244094488189,SUCCESS
AMBASSADEURS,AMBASSADEURS_M5,11,age_45_54,age_45_54,2.295318868087178,0.6047727330785578,8.71151825807042,0.22210296288322479,False,0.5708661417322834,SUCCESS
AMBASSADEURS,AMBASSADEURS_M6,11,age_55_plus,age_55_plus,0.4721071248935721,0.24140607115684729,0.9232789229665276,0.028291401535767355,True,0.5118110236220472,SUCCESS
