candidate_season_key,season_id,season_name,season_year,candidate_name,age,gender,physical_score_previous,survival_time,event,censored,final_position_raw,departure_type_normalized,departure_category,departure_model_category,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,final_departure_cause,age_band,event_vote_conseil,event_medical,event_finale_orientation,event_finale_poteaux,event_elimination_challenge,event_jury_final_decision,event_voluntary,event_ambassadeurs,event_destins_lies,physical_score,physical_profile,physical_score_source,physical_score_reviewer_status,event_vote_conseil_combined,analysis_departure_cause,season_cast_size,normalized_exit_rank_20,normalized_rank_block_3,reached_orientation,reached_poteaux,reached_jury_final,jury_final_win,final_phase_reached,prefinal_exit_event,prefinal_exit_order,prefinal_exit_count_season,prefinal_rank_15,prefinal_block_3,prefinal_block_5
KL15::ugo [ n 7 ],KL15,Koh-Lanta : Malaisie,2012,Ugo [ N 7 ],30.0,MALE,0.0,20.0,0,True,Gagnant,VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,False,20,20,MANUAL_FINAL,1,1,1,1,CENSORED_WINNER,26-33,0,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,CENSORED_WINNER,20,20,19–20,1,1,1,1,1,0,,15.0,,Phase finale atteinte,Phase finale atteinte
KL02::xavier,KL02,KL KL02,2002,Xavier,29.0,MALE,0.0,1.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,1,1,MANUAL_FINAL,1,1,1,1,MEDICAL,26-33,0,1,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,MEDICAL,16,1,1–3,0,0,0,0,0,1,1.0,13.0,1.0,1–3,1–5
KL02::caroline mercier,KL02,KL KL02,2002,Caroline Mercier,29.0,FEMALE,0.0,2.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,2,2,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,2,1–3,0,0,0,0,0,1,2.0,13.0,2.0,1–3,1–5
KL02::céline genty,KL02,KL KL02,2002,Céline Genty,28.0,FEMALE,0.0,3.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,3,3,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,3,1–3,0,0,0,0,0,1,3.0,13.0,3.0,1–3,1–5
KL02::nelly,KL02,KL KL02,2002,Nelly,22.0,FEMALE,0.0,4.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,4,4,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,4,4–6,0,0,0,0,0,1,4.0,13.0,4.0,4–6,1–5
KL02::pierre,KL02,KL KL02,2002,Pierre,24.0,MALE,0.0,5.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,5,5,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,6,4–6,0,0,0,0,0,1,5.0,13.0,5.0,4–6,1–5
KL02::jacky,KL02,KL KL02,2002,Jacky,51.0,MALE,0.0,6.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,6,6,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,42+,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,7,7–9,0,0,0,0,0,1,6.0,13.0,6.0,4–6,6–10
KL02::adonis,KL02,KL KL02,2002,Adonis,29.0,MALE,0.0,7.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,7,7,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,8,7–9,0,0,0,0,0,1,7.0,13.0,8.0,7–9,6–10
KL02::jimmy,KL02,KL KL02,2002,Jimmy,33.0,MALE,0.0,8.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,8,8,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,26-33,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,9,7–9,0,0,0,0,0,1,8.0,13.0,9.0,7–9,6–10
KL02::béatrice,KL02,KL KL02,2002,Béatrice,22.0,FEMALE,0.0,9.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,9,9,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,11,10–12,0,0,0,0,0,1,9.0,13.0,10.0,10–12,6–10
